SERVICIO,MES,OPORTUNIDAD
MEDICINA GENERAL,1,2.39
MEDICINA GENERAL,1,3.15
MEDICINA GENERAL,1,3.25
MEDICINA GENERAL,1,2.57
MEDICINA GENERAL,1,4.21
MEDICINA GENERAL,1,3.14
MEDICINA GENERAL,1,3.79
MEDICINA GENERAL,1,2.5
MEDICINA GENERAL,1,1.8
MEDICINA GENERAL,1,6.31
MEDICINA GENERAL,1,3.31
MEDICINA GENERAL,1,3.94
MEDICINA GENERAL,1,3.02
MEDICINA GENERAL,1,4.15
MEDICINA GENERAL,1,5.26
MEDICINA GENERAL,1,4.25
MEDICINA GENERAL,1,3.85
MEDICINA GENERAL,1,3.64
MEDICINA GENERAL,1,3.89
MEDICINA GENERAL,1,8.33
MEDICINA GENERAL,1,3.21
MEDICINA GENERAL,1,1.92
MEDICINA GENERAL,1,2.25
MEDICINA GENERAL,1,3
MEDICINA GENERAL,1,2.14
MEDICINA GENERAL,1,3.56
MEDICINA GENERAL,1,4.17
MEDICINA GENERAL,1,2.47
MEDICINA GENERAL,1,2.99
MEDICINA GENERAL,1,3.66
MEDICINA GENERAL,1,3.5
MEDICINA GENERAL,1,4.33
MEDICINA GENERAL,1,3.1
MEDICINA GENERAL,1,5.67
MEDICINA GENERAL,1,4.28
MEDICINA GENERAL,1,4.97
MEDICINA GENERAL,1,3.69
MEDICINA GENERAL,2,2.58
MEDICINA GENERAL,2,3.72
MEDICINA GENERAL,2,3.59
MEDICINA GENERAL,2,3.21
MEDICINA GENERAL,2,6.35
MEDICINA GENERAL,2,4.35
MEDICINA GENERAL,2,4.69
MEDICINA GENERAL,2,3.89
MEDICINA GENERAL,2,2.56
MEDICINA GENERAL,2,9.92
MEDICINA GENERAL,2,3.05
MEDICINA GENERAL,2,6.04
MEDICINA GENERAL,2,3.3
MEDICINA GENERAL,2,8.9
MEDICINA GENERAL,2,5.83
MEDICINA GENERAL,2,4.11
MEDICINA GENERAL,2,6.24
MEDICINA GENERAL,2,6.5
MEDICINA GENERAL,2,4.2
MEDICINA GENERAL,2,11.42
MEDICINA GENERAL,2,3.29
MEDICINA GENERAL,2,2.29
MEDICINA GENERAL,2,2.6
MEDICINA GENERAL,2,3.5
MEDICINA GENERAL,2,2.29
MEDICINA GENERAL,2,6.6
MEDICINA GENERAL,2,3.32
MEDICINA GENERAL,2,2.28
MEDICINA GENERAL,2,4.31
MEDICINA GENERAL,2,5.43
MEDICINA GENERAL,2,3.46
MEDICINA GENERAL,2,5.06
MEDICINA GENERAL,2,4.12
MEDICINA GENERAL,2,8.56
MEDICINA GENERAL,2,4.43
MEDICINA GENERAL,2,6.94
MEDICINA GENERAL,2,10.79
MEDICINA GENERAL,3,2.74
MEDICINA GENERAL,3,3.76
MEDICINA GENERAL,3,3.82
MEDICINA GENERAL,3,3.51
MEDICINA GENERAL,3,7.12
MEDICINA GENERAL,3,5.96
MEDICINA GENERAL,3,6.22
MEDICINA GENERAL,3,6.8
MEDICINA GENERAL,3,2
MEDICINA GENERAL,3,9.77
MEDICINA GENERAL,3,3.19
MEDICINA GENERAL,3,4.3
MEDICINA GENERAL,3,3.72
MEDICINA GENERAL,3,8.81
MEDICINA GENERAL,3,3.35
MEDICINA GENERAL,3,3.4
MEDICINA GENERAL,3,3.19
MEDICINA GENERAL,3,6.4
MEDICINA GENERAL,3,6.79
MEDICINA GENERAL,3,12.61
MEDICINA GENERAL,3,2.43
MEDICINA GENERAL,3,1.18
MEDICINA GENERAL,3,2.49
MEDICINA GENERAL,3,2.11
MEDICINA GENERAL,3,3.3
MEDICINA GENERAL,3,8.67
MEDICINA GENERAL,3,3.38
MEDICINA GENERAL,3,2.87
MEDICINA GENERAL,3,3.72
MEDICINA GENERAL,3,4.23
MEDICINA GENERAL,3,6.08
MEDICINA GENERAL,3,7.92
MEDICINA GENERAL,3,5.22
MEDICINA GENERAL,3,9.92
MEDICINA GENERAL,3,6.38
MEDICINA GENERAL,3,3.44
MEDICINA GENERAL,3,13.37
